"DATE","TIME PERIOD","Eonia rate - Historical close, average of observations through period (FM.M.U2.EUR.4F.MM.EONIA.HSTA)"
"2004-06-30","2004Jun","2.0277"
"2004-07-31","2004Jul","2.0677"
"2004-08-31","2004Aug","2.0405"
"2004-09-30","2004Sep","2.0518"
"2004-10-31","2004Oct","2.1114"
"2004-11-30","2004Nov","2.0850"
"2004-12-31","2004Dec","2.0535"
"2005-01-31","2005Jan","2.0771"
"2005-02-28","2005Feb","2.0585"
"2005-03-31","2005Mar","2.0567"
"2005-04-30","2005Apr","2.0757"
"2005-05-31","2005May","2.0700"
"2005-06-30","2005Jun","2.0623"
"2005-07-31","2005Jul","2.0729"
"2005-08-31","2005Aug","2.0609"
"2005-09-30","2005Sep","2.0941"
"2005-10-31","2005Oct","2.0671"
"2005-11-30","2005Nov","2.0859"
"2005-12-31","2005Dec","2.2757"
"2006-01-31","2006Jan","2.3264"
"2006-02-28","2006Feb","2.3495"
"2006-03-31","2006Mar","2.5200"
"2006-04-30","2006Apr","2.6283"
"2006-05-31","2006May","2.5768"
"2006-06-30","2006Jun","2.6977"
"2006-07-31","2006Jul","2.8138"
"2006-08-31","2006Aug","2.9683"
"2006-09-30","2006Sep","3.0410"
"2006-10-31","2006Oct","3.2782"
"2006-11-30","2006Nov","3.3277"
"2006-12-31","2006Dec","3.5011"
"2007-01-31","2007Jan","3.5632"
"2007-02-28","2007Feb","3.5695"
"2007-03-31","2007Mar","3.6909"
"2007-04-30","2007Apr","3.8195"
"2007-05-31","2007May","3.7905"
"2007-06-30","2007Jun","3.9557"
"2007-07-31","2007Jul","4.0632"
"2007-08-31","2007Aug","4.0474"
"2007-09-30","2007Sep","4.0286"
"2007-10-31","2007Oct","3.9414"
"2007-11-30","2007Nov","4.0221"
"2007-12-31","2007Dec","3.8791"
"2008-01-31","2008Jan","4.0218"
"2008-02-29","2008Feb","4.0279"
"2008-03-31","2008Mar","4.0910"
"2008-04-30","2008Apr","3.9868"
"2008-05-31","2008May","4.0097"
"2008-06-30","2008Jun","4.0067"
"2008-07-31","2008Jul","4.1908"
"2008-08-31","2008Aug","4.2989"
"2008-09-30","2008Sep","4.2733"
"2008-10-31","2008Oct","3.8198"
"2008-11-30","2008Nov","3.1502"
"2008-12-31","2008Dec","2.4864"
"2009-01-31","2009Jan","1.8122"
"2009-02-28","2009Feb","1.2571"
"2009-03-31","2009Mar","1.0620"
"2009-04-30","2009Apr","0.8419"
"2009-05-31","2009May","0.7821"
"2009-06-30","2009Jun","0.6980"
"2009-07-31","2009Jul","0.3576"
"2009-08-31","2009Aug","0.3475"
"2009-09-30","2009Sep","0.3632"
"2009-10-31","2009Oct","0.3587"
"2009-11-30","2009Nov","0.3624"
"2009-12-31","2009Dec","0.3546"
"2010-01-31","2010Jan","0.3440"
"2010-02-28","2010Feb","0.3406"
"2010-03-31","2010Mar","0.3477"
"2010-04-30","2010Apr","0.3533"
"2010-05-31","2010May","0.3439"
"2010-06-30","2010Jun","0.3543"
"2010-07-31","2010Jul","0.4811"
"2010-08-31","2010Aug","0.4256"
"2010-09-30","2010Sep","0.4536"
"2010-10-31","2010Oct","0.7013"
"2010-11-30","2010Nov","0.5926"
"2010-12-31","2010Dec","0.4981"
"2011-01-31","2011Jan","0.6590"
"2011-02-28","2011Feb","0.7071"
"2011-03-31","2011Mar","0.6587"
"2011-04-30","2011Apr","0.9661"
"2011-05-31","2011May","1.0334"
"2011-06-30","2011Jun","1.1240"
"2011-07-31","2011Jul","1.0118"
"2011-08-31","2011Aug","0.9058"
"2011-09-30","2011Sep","1.0055"
"2011-10-31","2011Oct","0.9596"
"2011-11-30","2011Nov","0.7900"
"2011-12-31","2011Dec","0.6270"
"2012-01-31","2012Jan","0.3800"
"2012-02-29","2012Feb","0.3656"
"2012-03-31","2012Mar","0.3567"
"2012-04-30","2012Apr","0.3451"
"2012-05-31","2012May","0.3370"
"2012-06-30","2012Jun","0.3320"
"2012-07-31","2012Jul","0.1842"
"2012-08-31","2012Aug","0.1101"
"2012-09-30","2012Sep","0.0993"
"2012-10-31","2012Oct","0.0907"
"2012-11-30","2012Nov","0.0785"
"2012-12-31","2012Dec","0.0734"
"2013-01-31","2013Jan","0.0690"
"2013-02-28","2013Feb","0.0677"
"2013-03-31","2013Mar","0.0670"
"2013-04-30","2013Apr","0.0810"
"2013-05-31","2013May","0.0787"
"2013-06-30","2013Jun","0.0862"
"2013-07-31","2013Jul","0.0931"
"2013-08-31","2013Aug","0.0820"
"2013-09-30","2013Sep","0.0803"
"2013-10-31","2013Oct","0.0933"
"2013-11-30","2013Nov","0.1031"
"2013-12-31","2013Dec","0.1687"
"2014-01-31","2014Jan","0.1961"
"2014-02-28","2014Feb","0.1567"
"2014-03-31","2014Mar","0.1919"
"2014-04-30","2014Apr","0.2539"
"2014-05-31","2014May","0.2480"
"2014-06-30","2014Jun","0.0758"
"2014-07-31","2014Jul","0.0433"
"2014-08-31","2014Aug","0.0179"
"2014-09-30","2014Sep","0.0066"
"2014-10-31","2014Oct","-0.0045"
"2014-11-30","2014Nov","-0.0116"
"2014-12-31","2014Dec","-0.0301"
"2015-01-31","2015Jan","-0.0506"
"2015-02-28","2015Feb","-0.0360"
"2015-03-31","2015Mar","-0.0504"
"2015-04-30","2015Apr","-0.0745"
"2015-05-31","2015May","-0.1058"
"2015-06-30","2015Jun","-0.1185"
"2015-07-31","2015Jul","-0.1177"
"2015-08-31","2015Aug","-0.1213"
"2015-09-30","2015Sep","-0.1357"
"2015-10-31","2015Oct","-0.1389"
"2015-11-30","2015Nov","-0.1347"
"2015-12-31","2015Dec","-0.1990"
"2016-01-31","2016Jan","-0.2387"
"2016-02-29","2016Feb","-0.2404"
"2016-03-31","2016Mar","-0.2877"
"2016-04-30","2016Apr","-0.3378"
"2016-05-31","2016May","-0.3380"
"2016-06-30","2016Jun","-0.3325"
"2016-07-31","2016Jul","-0.3288"
"2016-08-31","2016Aug","-0.3388"
"2016-09-30","2016Sep","-0.3430"
"2016-10-31","2016Oct","-0.3466"
"2016-11-30","2016Nov","-0.3487"
"2016-12-31","2016Dec","-0.3504"
"2017-01-31","2017Jan","-0.3515"
"2017-02-28","2017Feb","-0.3529"
"2017-03-31","2017Mar","-0.3535"
"2017-04-30","2017Apr","-0.3569"
"2017-05-31","2017May","-0.3589"
"2017-06-30","2017Jun","-0.3587"
"2017-07-31","2017Jul","-0.3595"
"2017-08-31","2017Aug","-0.3558"
"2017-09-30","2017Sep","-0.3581"
"2017-10-31","2017Oct","-0.3590"
"2017-11-30","2017Nov","-0.3492"
"2017-12-31","2017Dec","-0.3423"
"2018-01-31","2018Jan","-0.3624"
"2018-02-28","2018Feb","-0.3647"
"2018-03-31","2018Mar","-0.3639"
"2018-04-30","2018Apr","-0.3657"
"2018-05-31","2018May","-0.3625"
"2018-06-30","2018Jun","-0.3618"
"2018-07-31","2018Jul","-0.3636"
"2018-08-31","2018Aug","-0.3591"
"2018-09-30","2018Sep","-0.3627"
"2018-10-31","2018Oct","-0.3660"
"2018-11-30","2018Nov","-0.3613"
"2018-12-31","2018Dec","-0.3605"
"2019-01-31","2019Jan","-0.3670"
"2019-02-28","2019Feb","-0.3671"
"2019-03-31","2019Mar","-0.3679"
"2019-04-30","2019Apr","-0.3670"
"2019-05-31","2019May","-0.3666"
"2019-06-30","2019Jun","-0.3616"
"2019-07-31","2019Jul","-0.3668"
"2019-08-31","2019Aug","-0.3612"
"2019-09-30","2019Sep","-0.4032"
"2019-10-31","2019Oct","-0.4642"
"2019-11-30","2019Nov","-0.4513"
"2019-12-31","2019Dec","-0.4562"
"2020-01-31","2020Jan","-0.4527"
"2020-02-29","2020Feb","-0.4533"
"2020-03-31","2020Mar","-0.4488"
"2020-04-30","2020Apr","-0.4516"
"2020-05-31","2020May","-0.4568"
"2020-06-30","2020Jun","-0.4607"
"2020-07-31","2020Jul","-0.4649"
"2020-08-31","2020Aug","-0.4677"
"2020-09-30","2020Sep","-0.4690"
"2020-10-31","2020Oct","-0.4694"
"2020-11-30","2020Nov","-0.4713"
"2020-12-31","2020Dec","-0.4725"
"2021-01-31","2021Jan","-0.4784"
"2021-02-28","2021Feb","-0.4787"
"2021-03-31","2021Mar","-0.4793"
"2021-04-30","2021Apr","-0.4808"
"2021-05-31","2021May","-0.4797"
"2021-06-30","2021Jun","-0.4796"
"2021-07-31","2021Jul","-0.4812"
"2021-08-31","2021Aug","-0.4829"
"2021-09-30","2021Sep","-0.4850"
"2021-10-31","2021Oct","-0.4856"
"2021-11-30","2021Nov","-0.4880"
"2021-12-31","2021Dec","-0.4922"
