"Data
wyliczenia","Stawka","Wartość
obrotów
(w mln PLN)","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15"
2005-04-21,0.0587,2495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-22,0.0554,4253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-25,0.0637,1335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-26,0.0623,3325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-27,0.0592,3031.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-28,0.0578,2125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-29,0.0587,1884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-02,0.0545,1529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-04,0.0543,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-05,0.0531,2827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-06,0.0567,926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-09,0.0564,1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-10,0.0554,4150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-11,0.0567,2555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-12,0.0588,4113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-13,0.0552,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-16,0.0546,3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-17,0.0552,3479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-18,0.0551,2625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
